SMILES,Odor,Stimulus,CID
CCCCC=COC(=O)CCCCCCCC,fruity; green; herbal; oily; waxy,-955348933095,-955348933095
CC(=O)OCC1C=CC(C(C)C)CC1,fruity; herbal; spicy; woody,-923209957509,-923209957509
CCCCCCCCC(OC(C)=O)C(=O)OC,apricot; buttery; peach,-874408321546,-874408321546
CCCCC=COC(=O)C(C)CCC,apple; fruity; green; tropical,-873963935677,-873963935677
CCCC(S)COCC,catty,-862841422647,-862841422647
CCCCCCCC=CC(=O)OC(CCCCCCCC)C(=O)O,milky,-848964121442,-848964121442
CCCCC=COC(=O)C=CCCCCC,fatty; fruity,-824509018158,-824509018158
CC(C)CC(C)(O)C1CCCS1,catty; green; lemon; sulfurous; tropical,-814358720178,-814358720178
CC(=S)OC1(C)OCCC1C,meaty; roasted; sulfurous,-810574975629,-810574975629
CCCCCC(OCC)OCCC,apple; green,-769823381108,-769823381108
CCCCC=COC(=O)c1ccco1,caramellic; fruity; green; sweet; tropical,-715392619320,-715392619320
CCC=CC(=O)OC=CCCCC,fruity; green; tropical,-642230313989,-642230313989
CCCC(CS)OC=O,black currant; catty; fruity; roasted; sulfurous; tropical,-616034955208,-616034955208
CCCCCCCCC(=O)C(=O)OC(=C(C)C)C(O)CO,buttery,-589819164142,-589819164142
CCCC(CCOC)[SH]=C(O)OCC,black currant; coffee; roasted; sulfurous; tropical,-577518874063,-577518874063
CC=CCOC(=O)C(C)CCC,apple; ethereal; fruity; plum; sharp,-555789259302,-555789259302
CC1=C(OC(=O)CO)CC(C(C)C)CC1,citrus; herbal,-539027388368,-539027388368
Cc1coc(C(=O)c2cccs2)c1C,meaty; sulfurous,-536536091492,-536536091492
CCCCCCCCCCC(OC=O)C(=O)OC,buttery; fatty; peach,-532443835007,-532443835007
CCCC(=O)CCSCc1ccco1,burnt; meaty; roasted,-526637194554,-526637194554
CCOC(=O)C1(c2ccccc2)OC1CC,berry; fruity,-521801045481,-521801045481
CCCCCCCCC=CC(OC)OC,citrus; fruity,-491960711349,-491960711349
SCC1CC=CS1,meaty; roasted; sulfurous,-468405094669,-468405094669
CCCOC(CC)OC(C)CCC,alcoholic; cognac; ethereal; green,-441877084569,-441877084569
CCCCCCCC=COC(=O)CC(C)C,apple; fruity; green; melon; tropical; waxy,-411945882527,-411945882527
